API,Arg,Descp,Normalized_descp,dtype,tensor_t,structure,shape,ndim,range,enum
mxnet.autograd.grad,retain_graph,DF: None,DEFAULT None,,,,,,,
mxnet.autograd.grad,retain_graph,"Whether to keep computation graph to differentiate again, instead of clearing history and release memory. Defaults to the same value as create_graph.",Defaults to the same value as PARAM,,,,,,,
mxnet.autograd.grad,retain_graph,DD: bool,ONE_WORD D_TYPE,D_TYPE,,,,,,
mxnet.autograd.grad,retain_graph,"Whether to keep computation graph to differentiate again, instead of clearing history and release memory. Defaults to the same value as create_graph.",Whether to keep computation graph to differentiate again instead of clearing history and release memory,bool,,,,0,,
mxnet.autograd.grad,variables,DD: NDArray or list of NDArray,D_STRUCTURE of D_STRUCTURE,,,D_STRUCTURE,,,,
mxnet.autograd.grad,variables,Input variables to compute gradients for.,Input variables to compute gradients for,,,,,,,
mxnet.callback.do_checkpoint,period,DF: 1,DEFAULT CONSTANT_NUM,int,,,,0,,
mxnet.callback.do_checkpoint,period,"DD: int, optional",D_TYPE optional,D_TYPE,,,,,,
mxnet.callback.do_checkpoint,period,Interval (number of epochs) between checkpoints. Default period is 1.,Default period is CONSTANT_NUM,,,,,,,
mxnet.callback.do_checkpoint,period,Interval (number of epochs) between checkpoints. Default period is 1.,Interval SHAPE between checkpoints,,,,,,,
mxnet.callback.log_train_metric,auto_reset,DF: False,DEFAULT CONSTANT_BOOL,bool,,,,0,,
mxnet.callback.log_train_metric,auto_reset,DD: bool,ONE_WORD D_TYPE,D_TYPE,,,,,,
mxnet.callback.log_train_metric,auto_reset,Reset the metric after each log.,Reset the metric after each log,,,,,,,
mxnet.callback.log_train_metric,period,DD: int,ONE_WORD D_TYPE,D_TYPE,,,,,,
mxnet.callback.log_train_metric,period,The number of batch to log the training evaluation metric.,The number of batch to log the training evaluation metric,int,,,,0,"[0,inf)",
mxnet.context.cpu,device_id,DF: 0,DEFAULT CONSTANT_NUM,int,,,,0,,
mxnet.context.cpu,device_id,"DD: int, optional",D_TYPE optional,D_TYPE,,,,,,
mxnet.context.cpu,device_id,The device id of the device. device_id is not needed for CPU. This is included to make interface compatible with GPU.,device_id is not needed for CPU,int,,,,0,"[0,inf)",
mxnet.context.cpu,device_id,The device id of the device. device_id is not needed for CPU. This is included to make interface compatible with GPU.,The device id of the device,int,,,,0,"[0,inf)",
mxnet.context.cpu,device_id,The device id of the device. device_id is not needed for CPU. This is included to make interface compatible with GPU.,This is included to make interface compatible with GPU,,,,,,,
mxnet.contrib.autograd.grad,argnum,DF: None,DEFAULT None,,,,,,,
mxnet.contrib.autograd.grad,argnum,DD: an int or a list of int,an D_TYPE or a D_STRUCTURE of D_TYPE,D_TYPE,,D_STRUCTURE,,,,
mxnet.contrib.autograd.grad,argnum,The index of argument to calculate gradient for.,The index of argument to calculate gradient for,int,,,,0,,
mxnet.contrib.autograd.grad,func,DD: a python function,a python function,,,,,,,
mxnet.contrib.autograd.grad,func,The forward (loss) function.,The forward SHAPE function,,,,,,,
mxnet.contrib.ndarray.AdaptiveAvgPooling2D,out,DF: None,DEFAULT None,,,,,,,
mxnet.contrib.ndarray.AdaptiveAvgPooling2D,out,"DD: NDArray, optional",D_STRUCTURE optional,,,D_STRUCTURE,,,,
