API,Arg,Descp,Normalized_descp,dtype,tensor_t,structure,shape,ndim,range,enum
torch.abs,input,the input tensor.,the input D_STRUCTURE,,D_STRUCTURE,,,,,
torch.abs,input,DD: Tensor,ONE_WORD D_STRUCTURE,,D_STRUCTURE,,,,,
torch.acos,input,DD: Tensor,ONE_WORD D_STRUCTURE,,D_STRUCTURE,,,,,
torch.acos,input,the input tensor.,the input D_STRUCTURE,,D_STRUCTURE,,,,,
torch.acos,out,"DD: Tensor, optional",D_STRUCTURE optional,,D_STRUCTURE,,,,,
torch.acos,out,DF: None,DEFAULT None,,,,,,,
torch.acos,out,the output tensor.,the output D_STRUCTURE,,D_STRUCTURE,,,,,
torch.add,input,DD: Tensor,ONE_WORD D_STRUCTURE,,D_STRUCTURE,,,,,
torch.add,input,the first input tensor,the first input D_STRUCTURE,,D_STRUCTURE,,,,,
torch.addbmm,beta,DF: 1,DEFAULT CONSTANT_NUM,int,,,,0,,
torch.addbmm,beta,multiplier for `input` ( beta ),multiplier for PARAM SHAPE,,,,,,,
torch.addbmm,beta,"DD: Number, optional",Number optional,numeric,,,,,,
torch.addcdiv,input,the tensor to be added,the D_STRUCTURE to be added,,D_STRUCTURE,,,,,
torch.addcdiv,input,DD: Tensor,ONE_WORD D_STRUCTURE,,D_STRUCTURE,,,,,
torch.addcdiv,value,DF: 1,DEFAULT CONSTANT_NUM,int,,,,0,,
torch.addcdiv,value,multiplier for tensor1 / tensor2,multiplier for PARAM PARAM,numeric,,,,,,
torch.addcdiv,value,"DD: Number, optional",Number optional,numeric,,,,,,
torch.addcmul,input,the tensor to be added,the D_STRUCTURE to be added,,D_STRUCTURE,,,,,
torch.addcmul,input,DD: Tensor,ONE_WORD D_STRUCTURE,,D_STRUCTURE,,,,,
torch.addmm,alpha,DF: 1,DEFAULT CONSTANT_NUM,int,,,,0,,
torch.addmm,alpha,multiplier for mat1 @ mat2  ( alpha ),multiplier for PARAM PARAM SHAPE,,,,,,,
torch.addmm,alpha,"DD: Number, optional",Number optional,numeric,,,,,,
torch.addmm,mat1,the first matrix to be multiplied,the first matrix to be multiplied,numeric,,,,,,
torch.addmm,mat1,DD: Tensor,ONE_WORD D_STRUCTURE,,D_STRUCTURE,,,,,
torch.addmm,out,"DD: Tensor, optional",D_STRUCTURE optional,,D_STRUCTURE,,,,,
torch.addmm,out,DF: None,DEFAULT None,,,,,,,
torch.addmm,out,the output tensor.,the output D_STRUCTURE,,D_STRUCTURE,,,,,
torch.addmv,out,"DD: Tensor, optional",D_STRUCTURE optional,,D_STRUCTURE,,,,,
torch.addmv,out,DF: None,DEFAULT None,,,,,,,
torch.addmv,out,the output tensor.,the output D_STRUCTURE,,D_STRUCTURE,,,,,
torch.addmv,vec,DD: Tensor,ONE_WORD D_STRUCTURE,,D_STRUCTURE,,,,,
torch.addmv,vec,vector to be multiplied,D_STRUCTURE to be multiplied,,,D_STRUCTURE,,1,,
torch.addr,beta,DF: 1,DEFAULT CONSTANT_NUM,int,,,,0,,
torch.addr,beta,multiplier for `input` ( beta ),multiplier for PARAM SHAPE,numeric,,,,,,
torch.addr,beta,"DD: Number, optional",Number optional,numeric,,,,,,
torch.addr,vec1,DD: Tensor,ONE_WORD D_STRUCTURE,,D_STRUCTURE,,,,,
