API,Arg,Descp,Normalized_descp,dtype,tensor_t,structure,shape,ndim,range,enum
tf.argsort,values,1-D or higher numeric `Tensor`.,CONSTANT_NUM D or higher D_TYPE D_STRUCTURE,D_TYPE,D_STRUCTURE,,,>=CONSTANT_NUM,,
tf.audio.decode_wav,contents,"A `Tensor` of type `string`. The WAV-encoded audio, usually from a file.",A D_STRUCTURE of type D_TYPE,D_TYPE,D_STRUCTURE,,,,,
tf.audio.decode_wav,contents,"A `Tensor` of type `string`. The WAV-encoded audio, usually from a file.",The WAV encoded audio usually from a file,,,,,,,
tf.audio.decode_wav,desired_channels,An optional `int`. Defaults to `-1`. Number of sample channels wanted.,An optional D_TYPE,D_TYPE,,,,0,,
tf.audio.decode_wav,desired_channels,DF: -1,DEFAULT CONSTANT_NUM,int,,,,0,,
tf.audio.decode_wav,desired_channels,An optional `int`. Defaults to `-1`. Number of sample channels wanted.,,int,,,,0,,
tf.audio.decode_wav,desired_channels,An optional `int`. Defaults to `-1`. Number of sample channels wanted.,Defaults to CONSTANT_NUM,int,,,,0,"[0,inf)",
tf.audio.decode_wav,name,A name for the operation (optional).,A name for the operation SHAPE,string,,,,0,,
tf.audio.decode_wav,name,DF: None,DEFAULT None,,,,,,,
tf.audio.encode_wav,sample_rate,A `Tensor` of type `int32`. Scalar containing the sample frequency.,A D_STRUCTURE of type D_TYPE,D_TYPE,D_STRUCTURE,,,,,
tf.audio.encode_wav,sample_rate,A `Tensor` of type `int32`. Scalar containing the sample frequency.,Scalar containing the sample frequency,,D_STRUCTURE,,,0,,
tf.autograph.to_graph,entity,Python callable or class to convert.,Python callable or class to convert,,,,,,,
tf.autograph.to_graph,recursive,DF: True,DEFAULT CONSTANT_BOOL,bool,,,,0,,
tf.autograph.to_graph,recursive,Whether to recursively convert any functions that the converted function may call.,Whether to recursively convert any functions that the converted function may call,bool,,,,0,,
tf.autograph.trace,*args,Arguments to print to `sys.stdout`.,Arguments to print to sys stdout,,,,,,,
tf.batch_to_space,block_shape,"A `Tensor`. Must be one of the following types: `int32`,`int64`. 1-D with shape `[M]`, all values must be >= 1. For backwards compatibility with TF 1.0, this parameter may be an int, in which case it is converted to `numpy.array([block_shape, block_shape], dtype=numpy.int64)`.",A D_STRUCTURE,,D_STRUCTURE,,,,,
tf.batch_to_space,block_shape,"A `Tensor`. Must be one of the following types: `int32`,`int64`. 1-D with shape `[M]`, all values must be >= 1. For backwards compatibility with TF 1.0, this parameter may be an int, in which case it is converted to `numpy.array([block_shape, block_shape], dtype=numpy.int64)`.",CONSTANT_NUM D with shape SHAPE all values must be REXPR,,,,SHAPE,CONSTANT_NUM,,
tf.batch_to_space,block_shape,"A `Tensor`. Must be one of the following types: `int32`,`int64`. 1-D with shape `[M]`, all values must be >= 1. For backwards compatibility with TF 1.0, this parameter may be an int, in which case it is converted to `numpy.array([block_shape, block_shape], dtype=numpy.int64)`.",For backwards compatibility with TF CONSTANT_FLOAT this parameter may be an D_TYPE in which case it is converted to numpy D_STRUCTURE SHAPE dtype numpy D_TYPE,,,,,,,
tf.batch_to_space,block_shape,"A `Tensor`. Must be one of the following types: `int32`,`int64`. 1-D with shape `[M]`, all values must be >= 1. For backwards compatibility with TF 1.0, this parameter may be an int, in which case it is converted to `numpy.array([block_shape, block_shape], dtype=numpy.int64)`.",Must be one of the following types D_TYPE,D_TYPE,,,,,,
tf.bitcast,input,"A `Tensor`. Must be one of the following types: `bfloat16`, `half`, `float32`, `float64`, `int64`, `int32`, `uint8`, `uint16`, `uint32`, `uint64`, `int8`, `int16`, `complex64`, `complex128`, `qint8`, `quint8`, `qint16`, `quint16`, `qint32`.",A D_STRUCTURE,,D_STRUCTURE,,,,,
tf.bitcast,input,"A `Tensor`. Must be one of the following types: `bfloat16`, `half`, `float32`, `float64`, `int64`, `int32`, `uint8`, `uint16`, `uint32`, `uint64`, `int8`, `int16`, `complex64`, `complex128`, `qint8`, `quint8`, `qint16`, `quint16`, `qint32`.",Must be one of the following types D_TYPE,D_TYPE,,,,,,
tf.bitwise.bitwise_or,name,A name for the operation (optional).,A name for the operation SHAPE,string,,,,0,,
tf.bitwise.bitwise_or,name,DF: None,DEFAULT None,,,,,,,
tf.bitwise.bitwise_xor,x,"A `Tensor`. Must be one of the following types: `int8`, `int16`, `int32`, `int64`, `uint8`, `uint16`, `uint32`, `uint64`.",A D_STRUCTURE,,D_STRUCTURE,,,,,
tf.bitwise.bitwise_xor,x,"A `Tensor`. Must be one of the following types: `int8`, `int16`, `int32`, `int64`, `uint8`, `uint16`, `uint32`, `uint64`.",Must be one of the following types D_TYPE,D_TYPE,,,,,,
tf.bitwise.invert,name,A name for the operation (optional).,A name for the operation SHAPE,string,,,,0,,
tf.bitwise.invert,name,DF: None,DEFAULT None,,,,,,,
tf.bitwise.left_shift,name,A name for the operation (optional).,A name for the operation SHAPE,string,,,,0,,
tf.bitwise.left_shift,name,DF: None,DEFAULT None,,,,,,,
tf.bitwise.right_shift,name,A name for the operation (optional).,A name for the operation SHAPE,string,,,,0,,
tf.bitwise.right_shift,name,DF: None,DEFAULT None,,,,,,,
tf.bitwise.right_shift,x,"A `Tensor`. Must be one of the following types: `int8`, `int16`, `int32`, `int64`, `uint8`, `uint16`, `uint32`, `uint64`.",A D_STRUCTURE,,D_STRUCTURE,,,,,
tf.bitwise.right_shift,x,"A `Tensor`. Must be one of the following types: `int8`, `int16`, `int32`, `int64`, `uint8`, `uint16`, `uint32`, `uint64`.",Must be one of the following types D_TYPE,D_TYPE,,,,,,
tf.bitwise.right_shift,y,A `Tensor`. Must have the same type as `x`.,A D_STRUCTURE,,D_STRUCTURE,,,,,
tf.bitwise.right_shift,y,A `Tensor`. Must have the same type as `x`.,Must have the same type as ENUM,&PARAM,,,,,,
tf.boolean_mask,mask,"K-D boolean tensor, K <= N and K must be known statically.",K D D_TYPE D_STRUCTURE K REXPR and K must be known statically,D_TYPE,D_STRUCTURE,,,K,,
tf.boolean_mask,tensor,N-D tensor.,N D D_STRUCTURE,,D_STRUCTURE,,,,,
tf.broadcast_to,name,A name for the operation (optional).,A name for the operation SHAPE,string,,,,0,,
tf.broadcast_to,name,DF: None,DEFAULT None,,,,,,,
tf.broadcast_to,shape,"A `Tensor`. Must be one of the following types: `int32`, `int64`. An 1-D `int` Tensor. The shape of the desired output.",A D_STRUCTURE,,D_STRUCTURE,,,,,
tf.broadcast_to,shape,"A `Tensor`. Must be one of the following types: `int32`, `int64`. An 1-D `int` Tensor. The shape of the desired output.",An CONSTANT_NUM D D_TYPE D_STRUCTURE,D_TYPE,D_STRUCTURE,,,CONSTANT_NUM,,
tf.broadcast_to,shape,"A `Tensor`. Must be one of the following types: `int32`, `int64`. An 1-D `int` Tensor. The shape of the desired output.",Must be one of the following types D_TYPE,D_TYPE,,,,,,
tf.broadcast_to,shape,"A `Tensor`. Must be one of the following types: `int32`, `int64`. An 1-D `int` Tensor. The shape of the desired output.",The shape of the desired output,int,,,,1,"[0,inf)",
tf.clip_by_norm,name,A name for the operation (optional).,A name for the operation SHAPE,string,,,,0,,
tf.clip_by_norm,name,DF: None,DEFAULT None,,,,,,,
tf.clip_by_value,clip_value_max,"A 0-D (scalar) `Tensor`, or a `Tensor` with the same shape as `t`. The maximum value to clip by.",A CONSTANT_NUM D SHAPE D_STRUCTURE with the same shape as ENUM,D_TYPE,D_STRUCTURE,,,CONSTANT_NUM,,
tf.clip_by_value,clip_value_max,"A 0-D (scalar) `Tensor`, or a `Tensor` with the same shape as `t`. The maximum value to clip by.",The maximum value to clip by,numeric,,,,,,
tf.clip_by_value,clip_value_min,"A 0-D (scalar) `Tensor`, or a `Tensor` with the same shape as `t`. The minimum value to clip by.",A CONSTANT_NUM D SHAPE D_STRUCTURE with the same shape as ENUM,D_TYPE,D_STRUCTURE,,,CONSTANT_NUM,,
tf.clip_by_value,clip_value_min,"A 0-D (scalar) `Tensor`, or a `Tensor` with the same shape as `t`. The minimum value to clip by.",The minimum value to clip by,numeric,,,,,,
tf.compat.as_str_any,value,A object that can be converted to `str`.,A object that can be converted to D_TYPE,,,,,,,
tf.compat.as_text,bytes_or_text,"A `bytes`, `str`, or `unicode` object.",A ENUM D_TYPE or ENUM object,D_TYPE,,,,0,,
tf.compat.as_text,encoding,DF: utf-8,utf CONSTANT_NUM,,,,,,,
tf.compat.as_text,encoding,A string indicating the charset for decoding unicode.,A D_TYPE indicating the charset for decoding unicode,D_TYPE,,,,0,,
tf.compat.dimension_value,dimension,"Either a `Dimension` instance, an integer, or None.",Either a ENUM instance an D_TYPE or None,D_TYPE,,,,,,
tf.compat.forward_compatibility_horizon,day,"A day (1 <= day <= 31, or 30, or 29, or 28) in month. Must be an`int`.",A day CONSTANT_NUM REXPR REXPR or CONSTANT_NUM in PARAM,int,,,,0,"[1,31]",
tf.compat.forward_compatibility_horizon,day,"A day (1 <= day <= 31, or 30, or 29, or 28) in month. Must be an`int`.",Must be anD_TYPE,D_TYPE,,,,0,,
tf.compat.forward_compatibility_horizon,year,"A year (e.g., 2018). Must be an `int`.",A year SHAPE,,,,,,,
tf.compat.forward_compatibility_horizon,year,"A year (e.g., 2018). Must be an `int`.",Must be an D_TYPE,D_TYPE,,,,0,,
tf.compat.forward_compatible,year,"A year (e.g., 2018). Must be an `int`.",A year SHAPE,,,,,,,
tf.compat.forward_compatible,year,"A year (e.g., 2018). Must be an `int`.",Must be an D_TYPE,D_TYPE,,,,0,,
tf.cond,false_fn,DF: None,DEFAULT None,,,,,,,
tf.cond,false_fn,The callable to be performed if pred is false.,The callable to be performed if PARAM is CONSTANT_BOOL,,,,,,,
tf.cond,name,DF: None,DEFAULT None,,,,,,,
tf.cond,name,Optional name prefix for the returned tensors.,Optional name prefix for the returned D_STRUCTURE,string,,,,0,,
tf.cond,pred,A scalar determining whether to return the result of `true_fn` or`false_fn`.,A scalar determining whether to return the result of PARAM or PARAM,,,,,0,,
tf.config.experimental_connect_to_cluster,cluster_spec_or_resolver,A `ClusterSpec` or `ClusterResolver` describing the cluster.,A ENUM describing the cluster,,,,,,,
tf.config.experimental_connect_to_cluster,task_index,DF: 0,DEFAULT CONSTANT_NUM,int,,,,0,,
tf.config.experimental_connect_to_cluster,task_index,The local task index.,The local task index,int,,,,,,
tf.config.experimental_connect_to_host,job_name,DF: worker,DEFAULT DF_STR,string,,,,0,,DF_STR
tf.config.experimental_connect_to_host,job_name,The job name under which the new server will be accessible.,The job name under which the new server will be accessible,string,,,,0,,
tf.config.experimental.set_synchronous_execution,enable,Whether operations should be dispatched synchronously. Valid values: None: sets the system default.True: executes each operation synchronously.False: executes each operation asynchronously.,Valid values None sets the system default CONSTANT_BOOL executes each operation synchronously CONSTANT_BOOL executes each operation asynchronously,,,,,,,
tf.config.experimental.set_synchronous_execution,enable,Whether operations should be dispatched synchronously. Valid values: None: sets the system default.True: executes each operation synchronously.False: executes each operation asynchronously.,Whether operations should be dispatched synchronously,bool,,,,0,,
tf.config.list_logical_devices,device_type,"(optional string) Only include devices matching this device type. For example ""CPU"" or ""GPU"".",SHAPE Only include devices matching this device type,,,,,,,
tf.config.list_logical_devices,device_type,DF: None,DEFAULT None,,,,,,,
tf.config.list_logical_devices,device_type,"(optional string) Only include devices matching this device type. For example ""CPU"" or ""GPU"".",For example ENUM,,,,,,,
tf.config.set_logical_device_configuration,logical_devices,"(optional) List of `tf.config.LogicalDeviceConfiguration`objects to allocate for the specified `PhysicalDevice`. If None, the default configuration will be used.",SHAPE D_STRUCTURE of tf config LogicalDeviceConfiguration ENUM PhysicalDevice,,,D_STRUCTURE,,,,
tf.config.set_logical_device_configuration,logical_devices,"(optional) List of `tf.config.LogicalDeviceConfiguration`objects to allocate for the specified `PhysicalDevice`. If None, the default configuration will be used.",If None the default configuration will be used,,,,,,,
tf.config.set_soft_device_placement,enabled,Whether to enable soft placement.,Whether to enable soft placement,bool,,,,0,,
tf.config.threading.set_inter_op_parallelism_threads,num_threads,Number of parallel threads,Number of parallel threads,int,,,,0,"[0,inf)",
tf.config.threading.set_intra_op_parallelism_threads,num_threads,Number of parallel threads,Number of parallel threads,int,,,,0,"[0,inf)",
tf.control_dependencies,control_inputs,"A list of `Operation` or `Tensor` objects which must be executed or computed before running the operations defined in the context. Can also be `None` to clear the control dependencies. If eager execution is enabled, any callable object in the `control_inputs` list will be called.",A D_STRUCTURE of ENUM or D_STRUCTURE objects which must be executed or computed before running the operations defined in the context,,D_STRUCTURE,D_STRUCTURE,,,,
tf.control_dependencies,control_inputs,"A list of `Operation` or `Tensor` objects which must be executed or computed before running the operations defined in the context. Can also be `None` to clear the control dependencies. If eager execution is enabled, any callable object in the `control_inputs` list will be called.",Can also be ENUM to clear the control dependencies,,,,,,,
tf.control_dependencies,control_inputs,"A list of `Operation` or `Tensor` objects which must be executed or computed before running the operations defined in the context. Can also be `None` to clear the control dependencies. If eager execution is enabled, any callable object in the `control_inputs` list will be called.",If eager execution is enabled any callable object in the ENUM D_STRUCTURE will be called,,,,,,,
tf.data.experimental.bucket_by_sequence_length,drop_remainder,"(Optional.) A `tf.bool` scalar `tf.Tensor`, representing whether the last batch should be dropped in the case it has fewer than`batch_size` elements; the default behavior is not to drop the smaller batch.",A D_TYPE scalar D_STRUCTURE representing whether the last batch should be dropped in the case it has fewer than ENUM elements the default behavior is not to drop the smaller batch,D_TYPE,D_STRUCTURE,,,0,,
tf.data.experimental.bucket_by_sequence_length,drop_remainder,DF: False,DEFAULT CONSTANT_BOOL,bool,,,,0,,
tf.data.experimental.bucket_by_sequence_length,drop_remainder,"(Optional.) A `tf.bool` scalar `tf.Tensor`, representing whether the last batch should be dropped in the case it has fewer than`batch_size` elements; the default behavior is not to drop the smaller batch.",ONE_WORD SHAPE,,,,,,,
tf.data.experimental.copy_to_device,target_device,The name of a device to which elements will be copied.,The name of a device to which elements will be copied,string,,,,0,,
tf.data.experimental.Counter,dtype,DF: tf.dtypes.int64,ONE_WORD D_TYPE,tf.dtype,,,,,,
tf.data.experimental.Counter,dtype,(Optional.) The data type for counter elements. Defaults to`tf.int64`.,Defaults toD_TYPE,tf.dtype,,,,0,,
tf.data.experimental.Counter,dtype,(Optional.) The data type for counter elements. Defaults to`tf.int64`.,ONE_WORD SHAPE,,,,,,,
tf.data.experimental.Counter,dtype,(Optional.) The data type for counter elements. Defaults to`tf.int64`.,The data type for counter elements,tf.dtype,,,,,,
tf.data.experimental.dense_to_ragged_batch,drop_remainder,"(Optional.) A `tf.bool` scalar `tf.Tensor`, representing whether the last batch should be dropped in the case it has fewer than`batch_size` elements; the default behavior is not to drop the smaller batch.",A D_TYPE scalar D_STRUCTURE representing whether the last batch should be dropped in the case it has fewer than PARAM elements the default behavior is not to drop the smaller batch,D_TYPE,D_STRUCTURE,,,0,,
tf.data.experimental.dense_to_ragged_batch,drop_remainder,DF: False,DEFAULT CONSTANT_BOOL,bool,,,,0,,
tf.data.experimental.dense_to_ragged_batch,drop_remainder,"(Optional.) A `tf.bool` scalar `tf.Tensor`, representing whether the last batch should be dropped in the case it has fewer than`batch_size` elements; the default behavior is not to drop the smaller batch.",ONE_WORD SHAPE,,,,,,,
tf.data.experimental.dense_to_ragged_batch,row_splits_dtype,DF: tf.dtypes.int64,ONE_WORD D_TYPE,tf.dtype,,,,,,
tf.data.experimental.dense_to_ragged_batch,row_splits_dtype,The dtype that should be used for the `row_splits` of any new ragged tensors.  Existing `tf.RaggedTensor` elements do not have their row_splits dtype changed.,Existing tf RaggedTensor elements do not have their row_splits dtype changed,,,,,,,
tf.data.experimental.dense_to_ragged_batch,row_splits_dtype,The dtype that should be used for the `row_splits` of any new ragged tensors.  Existing `tf.RaggedTensor` elements do not have their row_splits dtype changed.,The dtype that should be used for the ENUM of any new ragged D_STRUCTURE,tf.dtype,,,,,,
tf.data.experimental.from_variant,structure,A `tf.data.experimental.Structure` object representing the structure of each element in the dataset.,A tf data experimental structure object representing the structure of each element in the dataset,,,,,,,
tf.data.experimental.from_variant,variant,A scalar `tf.variant` tensor representing a dataset.,A scalar D_TYPE D_STRUCTURE representing a dataset,D_TYPE,D_STRUCTURE,,,0,,
tf.data.experimental.make_batched_features_dataset,batch_size,An int representing the number of records to combine in a single batch.,An D_TYPE representing the number of records to combine in a single batch,D_TYPE,,,,0,"[0,inf)",
tf.data.experimental.make_batched_features_dataset,features,A `dict` mapping feature keys to `FixedLenFeature` or`VarLenFeature` values. See `tf.io.parse_example`.,A D_STRUCTURE mapping feature keys to ENUM values,,,D_STRUCTURE,,,,
tf.data.experimental.make_batched_features_dataset,features,A `dict` mapping feature keys to `FixedLenFeature` or`VarLenFeature` values. See `tf.io.parse_example`.,See tf io parse_example,,,,,,,
tf.data.experimental.make_batched_features_dataset,parser_num_threads,DF: None,DEFAULT None,,,,,,,
tf.data.experimental.make_batched_features_dataset,parser_num_threads,Number of threads to use for parsing `Example` tensors into a dictionary of `Feature` tensors. Defaults to `2`.,Defaults to CONSTANT_NUM,int,,,,0,,
tf.data.experimental.make_batched_features_dataset,parser_num_threads,Number of threads to use for parsing `Example` tensors into a dictionary of `Feature` tensors. Defaults to `2`.,Number of threads to use for parsing ENUM D_STRUCTURE into a D_STRUCTURE of ENUM D_STRUCTURE,int,,,,0,"[0,inf)",
